short,display,macro_f1,weighted_f1,accuracy,train_sec
R6,BERT embedding (bert-base-uncased),0.34203816851474694,0.909173817095352,0.9323308270676691,5.8
R5,GloVe (twitter-100d),0.33119769119769116,0.8886436871399277,0.9135338345864662,2.3
