short,display,macro_f1,weighted_f1,accuracy,train_sec
LR,"Logistic Regression
(multinomial, regParam=0.1)",0.233666001330672,0.8590488196539253,0.8984962406015038,8.3
CNB,"Complement
NaiveBayes",0.3332376767887485,0.8454813224224623,0.8157894736842105,1.0
DT,"Decision Tree
(maxDepth=10)",0.29467040673211786,0.8808645034746756,0.9097744360902256,2.9
RF,"Random Forest
(numTrees=100)",0.18888888888888888,0.8450292397660818,0.8947368421052632,5.4
OVR-SVC,"OneVsRest
+ LinearSVC",0.3142194955691888,0.8765625720743577,0.8909774436090225,129.7
