short,display,macro_f1,weighted_f1,accuracy,train_sec,error
R1,TF-IDF (unigram),0.233666001330672,0.8590488196539253,0.8984962406015038,9.5,
R2,"TF-IDF (1,2-gram)",0.233666001330672,0.8590488196539253,0.8984962406015038,13.1,
R3,CountVectorizer (no IDF),0.233666001330672,0.8590488196539253,0.8984962406015038,6.2,
R4,Word2Vec (dim=100),0.18888888888888888,0.8450292397660818,0.8947368421052632,8.0,
