display,type,regParam,macro_f1,weighted_f1,accuracy,train_sec
LR+Weight (rp=0.01),LR+Weight,0.01,0.33134575569358177,0.8411619109886518,0.8120300751879699,8.0
LR+Weight (rp=0.05),LR+Weight,0.05,0.3375025378540974,0.8437501648718035,0.8157894736842105,6.2
LR+Weight (rp=0.1),LR+Weight,0.1,0.3330922476967102,0.8421659338174764,0.8120300751879699,4.6
LR+Weight (rp=0.5),LR+Weight,0.5,0.3453071113908118,0.8407616744819886,0.8045112781954887,3.7
LR+Weight (rp=1.0),LR+Weight,1.0,0.33486366826296576,0.8395816685661418,0.8007518796992481,3.2
CNB (S2 reference),CNB,,0.3332376767887485,0.8454813224224623,0.8157894736842105,1.0
